127.0.0.1 - - [11/Mar/2022:16:59:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/user/userJoin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/css/custom.css HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/js/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/js/popper.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:18 +0900] "GET /TANGPROJECT/tang.png HTTP/1.1" 200 45756
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/user/userJoin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/css/custom.css HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/js/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/js/popper.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/tang.png HTTP/1.1" 200 45756
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /TANGPROJECT/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:30 +0900] "GET /TANGPROJECT/index.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:30 +0900] "GET /TANGPROJECT/js/popper.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:35 +0900] "GET /TANGPROJECT/user/userRegister.jsp HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:35 +0900] "GET /TANGPROJECT/js/popper.min.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:39 +0900] "POST /TANGPROJECT/user/userRegisterAction.jsp HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:46 +0900] "GET /TANGPROJECT/index.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [11/Mar/2022:16:59:46 +0900] "GET /TANGPROJECT/js/popper.min.js HTTP/1.1" 404 843
